WALWORTH | WISCONSIN
FRANKLIN | TEXAS
FRANKLIN | VIRGINIA
RIO ARRIBA | NEW MEXICO
WILKINSON | MISSISSIPPI
DELTA | MICHIGAN
DELTA | TEXAS
HUBBARD | MINNESOTA
RED RIVER | TEXAS
NEW CASTLE | DELAWARE
ROANOKE CITY | VIRGINIA
ANDERSON | TENNESSEE
ANDERSON | TEXAS
GONZALES | TEXAS
STEELE | MINNESOTA
PETROLEUM | MONTANA
HOLMES | MISSISSIPPI
WINSTON | MISSISSIPPI
SANTA FE | NEW MEXICO
KING WILLIAM | VIRGINIA
ALASKA | z_NA
COLFAX | NEBRASKA
COLFAX | NEW MEXICO
GARDEN | NEBRASKA
EL PASO | TEXAS
HARDY | WEST VIRGINIA
VALLEY | MONTANA
VALLEY | NEBRASKA
BRISTOL | MASSACHUSETTS
BRISTOL | RHODE ISLAND
TAZEWELL | VIRGINIA
MILAM | TEXAS
GLADWIN | MICHIGAN
SEWARD | NEBRASKA
BARRY | MICHIGAN
COAHOMA | MISSISSIPPI
CHESAPEAKE CITY | VIRGINIA
BERKELEY | WEST VIRGINIA
LAVACA | TEXAS
TIPTON | TENNESSEE
ROCKBRIDGE | VIRGINIA
ALLEGHANY | VIRGINIA
WINONA | MINNESOTA
NICOLLET | MINNESOTA
WORCESTER | MASSACHUSETTS
CHASE | NEBRASKA
GRAND TRAVERSE | MICHIGAN
BLAND | VIRGINIA
REAL | TEXAS
LIVINGSTON | MICHIGAN
PRESQUE ISLE | MICHIGAN
HARTLEY | TEXAS
PLYMOUTH | MASSACHUSETTS
HALIFAX | VIRGINIA
STEVENS | MINNESOTA
HOOKER | NEBRASKA
CABELL | WEST VIRGINIA
SAUNDERS | NEBRASKA
KOOCHICHING | MINNESOTA
OTTAWA | MICHIGAN
CLARE | MICHIGAN
CHAVES | NEW MEXICO
RHEA | TENNESSEE
MCNAIRY | TENNESSEE
ROSCOMMON | MICHIGAN
BATH | VIRGINIA
SHARKEY | MISSISSIPPI
OTTER TAIL | MINNESOTA
KANAWHA | WEST VIRGINIA
TROUSDALE | TENNESSEE
LAWRENCE | MISSISSIPPI
LAWRENCE | TENNESSEE
DICKSON | TENNESSEE
ATASCOSA | TEXAS
CHEBOYGAN | MICHIGAN
KAUFMAN | TEXAS
ISLE OF WIGHT | VIRGINIA
GRATIOT | MICHIGAN
DAWSON | MONTANA
DAWSON | NEBRASKA
DAWSON | TEXAS
BRUNSWICK | VIRGINIA
MACKINAC | MICHIGAN
LOUISA | VIRGINIA
PICKETT | TENNESSEE
PIERCE | NEBRASKA
LIPSCOMB | TEXAS
FREEBORN | MINNESOTA
QUAY | NEW MEXICO
STAFFORD | VIRGINIA
PALO PINTO | TEXAS
DECATUR | TENNESSEE
WYTHE | VIRGINIA
HARRISON | MISSISSIPPI
HARRISON | TEXAS
HARRISON | WEST VIRGINIA
FRONTIER | NEBRASKA
MORGAN | TENNESSEE
MORGAN | WEST VIRGINIA
LEWIS | TENNESSEE
LEWIS | WEST VIRGINIA
CUSTER | MONTANA
CUSTER | NEBRASKA
CARTER | MONTANA
CARTER | TENNESSEE
BOX BUTTE | NEBRASKA
CRANE | TEXAS
QUITMAN | MISSISSIPPI
CARVER | MINNESOTA
CROCKETT | TENNESSEE
CROCKETT | TEXAS
TIPPAH | MISSISSIPPI
DONLEY | TEXAS
SWISHER | TEXAS
PERKINS | NEBRASKA
MARTIN | MINNESOTA
MARTIN | TEXAS
WAYNE | MICHIGAN
WAYNE | MISSISSIPPI
WAYNE | NEBRASKA
WAYNE | TENNESSEE
WAYNE | WEST VIRGINIA
COLLINGSWORTH | TEXAS
TREASURE | MONTANA
FORREST | MISSISSIPPI
OAKLAND | MICHIGAN
PRENTISS | MISSISSIPPI
DONA ANA | NEW MEXICO
RAVALLI | MONTANA
LOWNDES | MISSISSIPPI
DUNDY | NEBRASKA
MCMINN | TENNESSEE
COOKE | TEXAS
NORTHAMPTON | VIRGINIA
WALKER | TEXAS
TITUS | TEXAS
ORANGE | TEXAS
ORANGE | VIRGINIA
ALPENA | MICHIGAN
KENDALL | TEXAS
DANVILLE CITY | VIRGINIA
FARIBAULT | MINNESOTA
BRISCOE | TEXAS
PASSAIC | NEW JERSEY
ALEXANDRIA CITY | VIRGINIA
WILKIN | MINNESOTA
VAN BUREN | MICHIGAN
VAN BUREN | TENNESSEE
BEDFORD CITY | VIRGINIA
WAYNESBORO CITY | VIRGINIA
LAC QUI PARLE | MINNESOTA
LEE | MISSISSIPPI
LEE | TEXAS
LEE | VIRGINIA
OCEANA | MICHIGAN
CHARLOTTESVILLE CITY | VIRGINIA
GLASSCOCK | TEXAS
MCKINLEY | NEW MEXICO
PHELPS | NEBRASKA
GAGE | NEBRASKA
CHISAGO | MINNESOTA
WASHINGTON | MAINE
WASHINGTON | MINNESOTA
WASHINGTON | MISSISSIPPI
WASHINGTON | NEBRASKA
WASHINGTON | RHODE ISLAND
WASHINGTON | TENNESSEE
WASHINGTON | TEXAS
WASHINGTON | VIRGINIA
SIMPSON | MISSISSIPPI
BENZIE | MICHIGAN
SMYTH | VIRGINIA
REDWOOD | MINNESOTA
MONTCALM | MICHIGAN
ONTONAGON | MICHIGAN
RANDALL | TEXAS
WICHITA | TEXAS
NOBLES | MINNESOTA
TAYLOR | TEXAS
TAYLOR | WEST VIRGINIA
COMANCHE | TEXAS
ALBANY | WYOMING
CROOK | WYOMING
ANTELOPE | NEBRASKA
LOUP | NEBRASKA
NELSON | VIRGINIA
DAKOTA | MINNESOTA
DAKOTA | NEBRASKA
BELTRAMI | MINNESOTA
NEWAYGO | MICHIGAN
CHERRY | NEBRASKA
BUTLER | NEBRASKA
AMITE | MISSISSIPPI
ROOSEVELT | MONTANA
ROOSEVELT | NEW MEXICO
ATLANTIC | NEW JERSEY
STEARNS | MINNESOTA
TOM GREEN | TEXAS
FOARD | TEXAS
RADFORD CITY | VIRGINIA
MCLEOD | MINNESOTA
ANTRIM | MICHIGAN
ISSAQUENA | MISSISSIPPI
GOGEBIC | MICHIGAN
SCOTTS BLUFF | NEBRASKA
ROANE | TENNESSEE
ROANE | WEST VIRGINIA
LOUDON | TENNESSEE
NEMAHA | NEBRASKA
TORRANCE | NEW MEXICO
AUSTIN | TEXAS
NANTUCKET | MASSACHUSETTS
WILLIAMSBURG CITY | VIRGINIA
PENOBSCOT | MAINE
GRAY | TEXAS
NATRONA | WYOMING
EDDY | NEW MEXICO
CURRY | NEW MEXICO
LEA | NEW MEXICO
SCOTT | MINNESOTA
SCOTT | MISSISSIPPI
SCOTT | TENNESSEE
SCOTT | VIRGINIA
CHESTER | TENNESSEE
CHEROKEE | TEXAS
VICTORIA | TEXAS
MECKLENBURG | VIRGINIA
SCURRY | TEXAS
MEEKER | MINNESOTA
MENOMINEE | MICHIGAN
PRINCE WILLIAM | VIRGINIA
CHEATHAM | TENNESSEE
PANOLA | MISSISSIPPI
PANOLA | TEXAS
KANDIYOHI | MINNESOTA
DUVAL | TEXAS
GAINES | TEXAS
LAMPASAS | TEXAS
EMPORIA CITY | VIRGINIA
AITKIN | MINNESOTA
SAGADAHOC | MAINE
MINGO | WEST VIRGINIA
DINWIDDIE | VIRGINIA
PATRICK | VIRGINIA
HARDEMAN | TENNESSEE
HARDEMAN | TEXAS
LAMB | TEXAS
CASCADE | MONTANA
HAWKINS | TENNESSEE
MORA | NEW MEXICO
WASHTENAW | MICHIGAN
DODGE | MINNESOTA
DODGE | NEBRASKA
WESTON | WYOMING
MERCER | NEW JERSEY
MERCER | WEST VIRGINIA
BEXAR | TEXAS
SURRY | VIRGINIA
MERRICK | NEBRASKA
WOOD | TEXAS
WOOD | WEST VIRGINIA
ESSEX | MASSACHUSETTS
ESSEX | NEW JERSEY
ESSEX | VIRGINIA
WALTHALL | MISSISSIPPI
KNOX | MAINE
KNOX | NEBRASKA
KNOX | TENNESSEE
KNOX | TEXAS
OTSEGO | MICHIGAN
GILES | TENNESSEE
GILES | VIRGINIA
FLUVANNA | VIRGINIA
RICHMOND | VIRGINIA
VALENCIA | NEW MEXICO
GOSHEN | WYOMING
CHARLOTTE | VIRGINIA
LOVING | TEXAS
SANDOVAL | NEW MEXICO
ZAPATA | TEXAS
LOS ALAMOS | NEW MEXICO
MCCULLOCH | TEXAS
MARTINSVILLE CITY | VIRGINIA
HAMILTON | NEBRASKA
HAMILTON | TENNESSEE
HAMILTON | TEXAS
GALLATIN | MONTANA
HOUGHTON | MICHIGAN
NANCE | NEBRASKA
PEARL RIVER | MISSISSIPPI
ARMSTRONG | TEXAS
TISHOMINGO | MISSISSIPPI
Year: 1992 transformed
2057 Counties

ST. MARY | LOUISIANA
WALWORTH | SOUTH DAKOTA
POTTAWATTAMIE | IOWA
KAY | OKLAHOMA
CAMERON | LOUISIANA
WELD | COLORADO
MORTON | KANSAS
LANCASTER | SOUTH CAROLINA
CHRISTIAN | ILLINOIS
CHRISTIAN | KENTUCKY
BUCHANAN | IOWA
FAYETTE | ALABAMA
FAYETTE | GEORGIA
FAYETTE | ILLINOIS
FAYETTE | IOWA
FAYETTE | KENTUCKY
OURAY | COLORADO
ST. JAMES | LOUISIANA
DEWEY | OKLAHOMA
DEWEY | SOUTH DAKOTA
RENO | KANSAS
OWSLEY | KENTUCKY
DESOTO | LOUISIANA
CARROLL | ARKANSAS
CARROLL | GEORGIA
CARROLL | ILLINOIS
CARROLL | IOWA
CARROLL | KENTUCKY
CARROLL | NEW HAMPSHIRE
OLDHAM | KENTUCKY
CASS | ILLINOIS
CASS | IOWA
STANTON | KANSAS
SAGUACHE | COLORADO
PIATT | ILLINOIS
BARTON | KANSAS
LOGAN | ARKANSAS
LOGAN | COLORADO
LOGAN | ILLINOIS
LOGAN | KANSAS
LOGAN | KENTUCKY
LOGAN | OKLAHOMA
RUSSELL | ALABAMA
RUSSELL | KANSAS
RUSSELL | KENTUCKY
MOULTRIE | ILLINOIS
BARBER | KANSAS
MCCOOK | SOUTH DAKOTA
WOODWARD | OKLAHOMA
ROUTT | COLORADO
KENTON | KENTUCKY
GARRARD | KENTUCKY
EVANS | GEORGIA
CERRO GORDO | IOWA
SEARCY | ARKANSAS
TALIAFERRO | GEORGIA
ALAMOSA | COLORADO
TILLMAN | OKLAHOMA
MINNEHAHA | SOUTH DAKOTA
JEFFERSON | ALABAMA
JEFFERSON | ARKANSAS
JEFFERSON | COLORADO
JEFFERSON | GEORGIA
JEFFERSON | IDAHO
JEFFERSON | ILLINOIS
JEFFERSON | IOWA
JEFFERSON | KANSAS
JEFFERSON | KENTUCKY
JEFFERSON | LOUISIANA
JEFFERSON | OKLAHOMA
JEFFERSON | OREGON
HUERFANO | COLORADO
LASALLE | ILLINOIS
SHANNON | SOUTH DAKOTA
BUTTE | IDAHO
BUTTE | SOUTH DAKOTA
LATAH | IDAHO
EDGAR | ILLINOIS
NOWATA | OKLAHOMA
STEPHENSON | ILLINOIS
HORRY | SOUTH CAROLINA
ALLAMAKEE | IOWA
WATAUGA | NORTH CAROLINA
WEBSTER | GEORGIA
WEBSTER | IOWA
WEBSTER | KENTUCKY
WEBSTER | LOUISIANA
RANDOLPH | ALABAMA
RANDOLPH | ARKANSAS
RANDOLPH | GEORGIA
RANDOLPH | ILLINOIS
RANDOLPH | NORTH CAROLINA
GILMER | GEORGIA
SEBASTIAN | ARKANSAS
ST. BERNARD | LOUISIANA
BUFFALO | SOUTH DAKOTA
HALE | ALABAMA
GARFIELD | COLORADO
GARFIELD | OKLAHOMA
CABARRUS | NORTH CAROLINA
COSTILLA | COLORADO
BRYAN | GEORGIA
BRYAN | OKLAHOMA
TRANSYLVANIA | NORTH CAROLINA
MOBILE | ALABAMA
LEAVENWORTH | KANSAS
WEST FELICIANA | LOUISIANA
CLARK | ARKANSAS
CLARK | IDAHO
CLARK | ILLINOIS
CLARK | KANSAS
CLARK | KENTUCKY
CLARK | SOUTH DAKOTA
BENEWAH | IDAHO
HARRIS | GEORGIA
YAMHILL | OREGON
DAVIDSON | NORTH CAROLINA
LETCHER | KENTUCKY
MASON | ILLINOIS
MASON | KENTUCKY
SALINE | ARKANSAS
SALINE | ILLINOIS
SALINE | KANSAS
GREENWOOD | KANSAS
GREENWOOD | SOUTH CAROLINA
HALL | GEORGIA
MINERAL | COLORADO
HOPKINS | KENTUCKY
ASSUMPTION | LOUISIANA
DOUGLAS | COLORADO
DOUGLAS | GEORGIA
DOUGLAS | ILLINOIS
DOUGLAS | KANSAS
DOUGLAS | OREGON
DOUGLAS | SOUTH DAKOTA
MUSCATINE | IOWA
RICHLAND | ILLINOIS
RICHLAND | LOUISIANA
RICHLAND | SOUTH CAROLINA
BON HOMME | SOUTH DAKOTA
BRECKINRIDGE | KENTUCKY
MADISON | ALABAMA
MADISON | ARKANSAS
MADISON | GEORGIA
MADISON | IDAHO
MADISON | ILLINOIS
MADISON | IOWA
MADISON | KENTUCKY
MADISON | LOUISIANA
MADISON | NORTH CAROLINA
OKFUSKEE | OKLAHOMA
HARDIN | ILLINOIS
HARDIN | IOWA
HARDIN | KENTUCKY
BREMER | IOWA
WALLACE | KANSAS
STONE | ARKANSAS
MERIWETHER | GEORGIA
TYRRELL | NORTH CAROLINA
TERRELL | GEORGIA
GRANVILLE | NORTH CAROLINA
JESSAMINE | KENTUCKY
FAULK | SOUTH DAKOTA
BINGHAM | IDAHO
ROBESON | NORTH CAROLINA
LAFOURCHE | LOUISIANA
CLEARWATER | IDAHO
GREENE | ALABAMA
GREENE | ARKANSAS
GREENE | GEORGIA
GREENE | ILLINOIS
GREENE | IOWA
GREENE | NORTH CAROLINA
GEARY | KANSAS
PUTNAM | GEORGIA
PUTNAM | ILLINOIS
ESTILL | KENTUCKY
TULSA | OKLAHOMA
ROBERTS | SOUTH DAKOTA
SHERIDAN | KANSAS
IDA | IOWA
LARUE | KENTUCKY
FLORENCE | SOUTH CAROLINA
JENKINS | GEORGIA
DEUEL | SOUTH DAKOTA
STEWART | GEORGIA
CRAWFORD | ARKANSAS
CRAWFORD | GEORGIA
CRAWFORD | ILLINOIS
CRAWFORD | IOWA
CRAWFORD | KANSAS
DURHAM | NORTH CAROLINA
LYON | IOWA
LYON | KANSAS
LYON | KENTUCKY
SPINK | SOUTH DAKOTA
FLEMING | KENTUCKY
STEPHENS | GEORGIA
STEPHENS | OKLAHOMA
GASTON | NORTH CAROLINA
COOS | NEW HAMPSHIRE
COOS | OREGON
BLOUNT | ALABAMA
DARE | NORTH CAROLINA
JEROME | IDAHO
BOUNDARY | IDAHO
NATCHITOCHES | LOUISIANA
ASCENSION | LOUISIANA
PEACH | GEORGIA
CHATTOOGA | GEORGIA
CAMPBELL | KENTUCKY
CAMPBELL | SOUTH DAKOTA
CARTERET | NORTH CAROLINA
EDWARDS | ILLINOIS
EDWARDS | KANSAS
DOOLY | GEORGIA
BOSSIER | LOUISIANA
BLAINE | IDAHO
BLAINE | OKLAHOMA
LA SALLE | LOUISIANA
LYMAN | SOUTH DAKOTA
HUTCHINSON | SOUTH DAKOTA
DARLINGTON | SOUTH CAROLINA
LARIMER | COLORADO
ORANGEBURG | SOUTH CAROLINA
CLARKE | ALABAMA
CLARKE | GEORGIA
CLARKE | IOWA
AVOYELLES | LOUISIANA
CATOOSA | GEORGIA
WILLIAMSON | ILLINOIS
MONTROSE | COLORADO
MACOUPIN | ILLINOIS
OWEN | KENTUCKY
COOK | GEORGIA
COOK | ILLINOIS
ASHE | NORTH CAROLINA
ONSLOW | NORTH CAROLINA
YELL | ARKANSAS
NEWBERRY | SOUTH CAROLINA
GREELEY | KANSAS
MAJOR | OKLAHOMA
EAST CARROLL | LOUISIANA
DISTRICT OF COLUMBIA | z_NA
NEZ PERCE | IDAHO
KINGSBURY | SOUTH DAKOTA
SHARP | ARKANSAS
OSAGE | KANSAS
OSAGE | OKLAHOMA
MCCREARY | KENTUCKY
ADAIR | IOWA
ADAIR | KENTUCKY
ADAIR | OKLAHOMA
HOWARD | ARKANSAS
HOWARD | IOWA
SEMINOLE | GEORGIA
SEMINOLE | OKLAHOMA
LAMAR | ALABAMA
LAMAR | GEORGIA
EDGEFIELD | SOUTH CAROLINA
DENVER | COLORADO
CRENSHAW | ALABAMA
TELFAIR | GEORGIA
ELBERT | COLORADO
ELBERT | GEORGIA
ATOKA | OKLAHOMA
HANCOCK | GEORGIA
HANCOCK | ILLINOIS
HANCOCK | IOWA
HANCOCK | KENTUCKY
POTTER | SOUTH DAKOTA
IBERVILLE | LOUISIANA
IREDELL | NORTH CAROLINA
BRULE | SOUTH DAKOTA
BEAUFORT | NORTH CAROLINA
BEAUFORT | SOUTH CAROLINA
WABASH | ILLINOIS
FORSYTH | GEORGIA
FORSYTH | NORTH CAROLINA
BEAUREGARD | LOUISIANA
OKMULGEE | OKLAHOMA
WALLOWA | OREGON
GREEN | KENTUCKY
NEOSHO | KANSAS
LENOIR | NORTH CAROLINA
SPARTANBURG | SOUTH CAROLINA
TODD | KENTUCKY
TODD | SOUTH DAKOTA
CRAIG | OKLAHOMA
GREER | OKLAHOMA
KNOTT | KENTUCKY
WRIGHT | IOWA
SULLIVAN | NEW HAMPSHIRE
FANNIN | GEORGIA
CLAIBORNE | LOUISIANA
LOVE | OKLAHOMA
CLINTON | ILLINOIS
CLINTON | IOWA
CLINTON | KENTUCKY
BAMBERG | SOUTH CAROLINA
DELAWARE | IOWA
DELAWARE | OKLAHOMA
COLLETON | SOUTH CAROLINA
PULASKI | ARKANSAS
PULASKI | GEORGIA
PULASKI | ILLINOIS
PULASKI | KENTUCKY
LESLIE | KENTUCKY
BARROW | GEORGIA
DOUGHERTY | GEORGIA
BRADLEY | ARKANSAS
BENTON | ARKANSAS
BENTON | IOWA
BENTON | OREGON
CADDO | LOUISIANA
CADDO | OKLAHOMA
HAAKON | SOUTH DAKOTA
CHATHAM | GEORGIA
CHATHAM | NORTH CAROLINA
KEOKUK | IOWA
PARK | COLORADO
MOORE | NORTH CAROLINA
LA PLATA | COLORADO
MONTGOMERY | ALABAMA
MONTGOMERY | ARKANSAS
MONTGOMERY | GEORGIA
MONTGOMERY | ILLINOIS
MONTGOMERY | IOWA
MONTGOMERY | KANSAS
MONTGOMERY | KENTUCKY
MONTGOMERY | NORTH CAROLINA
PUSHMATAHA | OKLAHOMA
BACON | GEORGIA
MULTNOMAH | OREGON
HICKMAN | KENTUCKY
GUILFORD | NORTH CAROLINA
DE WITT | ILLINOIS
BROWN | ILLINOIS
BROWN | KANSAS
BROWN | SOUTH DAKOTA
MORRIS | KANSAS
BEADLE | SOUTH DAKOTA
CONECUH | ALABAMA
BANKS | GEORGIA
AVERY | NORTH CAROLINA
BONNER | IDAHO
ROCKCASTLE | KENTUCKY
PERSON | NORTH CAROLINA
TWIN FALLS | IDAHO
CUMBERLAND | ILLINOIS
CUMBERLAND | KENTUCKY
CUMBERLAND | NORTH CAROLINA
RIO BLANCO | COLORADO
PAGE | IOWA
GRAVES | KENTUCKY
ST. FRANCIS | ARKANSAS
ST. TAMMANY | LOUISIANA
FULTON | ARKANSAS
FULTON | GEORGIA
FULTON | ILLINOIS
FULTON | KENTUCKY
PALO ALTO | IOWA
WASHITA | OKLAHOMA
OGLE | ILLINOIS
SHELBY | ALABAMA
SHELBY | ILLINOIS
SHELBY | IOWA
SHELBY | KENTUCKY
PENDLETON | KENTUCKY
DUPLIN | NORTH CAROLINA
SUMNER | KANSAS
OSCEOLA | IOWA
BIENVILLE | LOUISIANA
WARREN | GEORGIA
WARREN | ILLINOIS
WARREN | IOWA
WARREN | KENTUCKY
WARREN | NORTH CAROLINA
OCONEE | GEORGIA
OCONEE | SOUTH CAROLINA
ASHLEY | ARKANSAS
FORD | ILLINOIS
FORD | KANSAS
MORROW | OREGON
DAVIS | IOWA
PHILLIPS | ARKANSAS
PHILLIPS | COLORADO
PHILLIPS | KANSAS
AUDUBON | IOWA
BOYD | KENTUCKY
CALHOUN | ALABAMA
CALHOUN | ARKANSAS
CALHOUN | GEORGIA
CALHOUN | ILLINOIS
CALHOUN | IOWA
CALHOUN | SOUTH CAROLINA
MURRAY | GEORGIA
MURRAY | OKLAHOMA
CAMDEN | GEORGIA
CAMDEN | NORTH CAROLINA
ST. LANDRY | LOUISIANA
WEST CARROLL | LOUISIANA
KANE | ILLINOIS
HODGEMAN | KANSAS
LANE | KANSAS
LANE | OREGON
GEM | IDAHO
LAFAYETTE | ARKANSAS
LAFAYETTE | LOUISIANA
SEVIER | ARKANSAS
TALLAPOOSA | ALABAMA
APPANOOSE | IOWA
GRAND | COLORADO
CLEAR CREEK | COLORADO
BERRIEN | GEORGIA
CHOCTAW | ALABAMA
CHOCTAW | OKLAHOMA
PASQUOTANK | NORTH CAROLINA
ADA | IDAHO
WAGONER | OKLAHOMA
RUTHERFORD | NORTH CAROLINA
EVANGELINE | LOUISIANA
WHITESIDE | ILLINOIS
SUMMIT | COLORADO
ARKANSAS | ARKANSAS
PERRY | ALABAMA
PERRY | ARKANSAS
PERRY | ILLINOIS
PERRY | KENTUCKY
HARLAN | KENTUCKY
LATIMER | OKLAHOMA
CLAYTON | GEORGIA
CLAYTON | IOWA
CASWELL | NORTH CAROLINA
IROQUOIS | ILLINOIS
BIBB | ALABAMA
BIBB | GEORGIA
MAYES | OKLAHOMA
ELLIOTT | KENTUCKY
ALEXANDER | ILLINOIS
ALEXANDER | NORTH CAROLINA
PUEBLO | COLORADO
MESA | COLORADO
MILLER | ARKANSAS
MILLER | GEORGIA
MISSISSIPPI | ARKANSAS
ROCKDALE | GEORGIA
ROWAN | KENTUCKY
ROWAN | NORTH CAROLINA
SULLY | SOUTH DAKOTA
DES MOINES | IOWA
CHAMBERS | ALABAMA
NEVADA | ARKANSAS
PAMLICO | NORTH CAROLINA
YORK | SOUTH CAROLINA
MIAMI | KANSAS
MARION | ALABAMA
MARION | ARKANSAS
MARION | GEORGIA
MARION | ILLINOIS
MARION | IOWA
MARION | KANSAS
MARION | KENTUCKY
MARION | OREGON
MARION | SOUTH CAROLINA
THOMAS | GEORGIA
THOMAS | KANSAS
SAMPSON | NORTH CAROLINA
MCDUFFIE | GEORGIA
WILKES | GEORGIA
WILKES | NORTH CAROLINA
CREEK | OKLAHOMA
DALLAS | ALABAMA
DALLAS | ARKANSAS
DALLAS | IOWA
GREENVILLE | SOUTH CAROLINA
BARREN | KENTUCKY
MAHASKA | IOWA
WOODSON | KANSAS
DONIPHAN | KANSAS
OUACHITA | ARKANSAS
OUACHITA | LOUISIANA
LITTLE RIVER | ARKANSAS
JASPER | GEORGIA
JASPER | ILLINOIS
JASPER | IOWA
JASPER | SOUTH CAROLINA
SIOUX | IOWA
YANKTON | SOUTH DAKOTA
YANCEY | NORTH CAROLINA
COFFEE | ALABAMA
COFFEE | GEORGIA
LONG | GEORGIA
HASKELL | KANSAS
HASKELL | OKLAHOMA
CORSON | SOUTH DAKOTA
CRITTENDEN | ARKANSAS
CRITTENDEN | KENTUCKY
PONTOTOC | OKLAHOMA
BONNEVILLE | IDAHO
TRIMBLE | KENTUCKY
CONEJOS | COLORADO
DOLORES | COLORADO
HABERSHAM | GEORGIA
VANCE | NORTH CAROLINA
MCDONOUGH | ILLINOIS
ACADIA | LOUISIANA
MCDOWELL | NORTH CAROLINA
GRAHAM | KANSAS
GRAHAM | NORTH CAROLINA
TRIPP | SOUTH DAKOTA
ANSON | NORTH CAROLINA
ORLEANS | LOUISIANA
SCREVEN | GEORGIA
BULLOCH | GEORGIA
HEMPSTEAD | ARKANSAS
TIFT | GEORGIA
HARDING | SOUTH DAKOTA
EAST BATON ROUGE | LOUISIANA
MOODY | SOUTH DAKOTA
PAWNEE | KANSAS
PAWNEE | OKLAHOMA
ABBEVILLE | SOUTH CAROLINA
CHICOT | ARKANSAS
KERSHAW | SOUTH CAROLINA
BUENA VISTA | IOWA
MILLS | IOWA
ST. CLAIR | ALABAMA
ST. CLAIR | ILLINOIS
DICKINSON | IOWA
DICKINSON | KANSAS
SABINE | LOUISIANA
OHIO | KENTUCKY
SWAIN | NORTH CAROLINA
LIBERTY | GEORGIA
TATTNALL | GEORGIA
IRWIN | GEORGIA
JOHNSTON | NORTH CAROLINA
JOHNSTON | OKLAHOMA
LANIER | GEORGIA
CRAIGHEAD | ARKANSAS
DEKALB | ALABAMA
DEKALB | GEORGIA
DEKALB | ILLINOIS
HOUSTON | ALABAMA
HOUSTON | GEORGIA
POLK | ARKANSAS
POLK | GEORGIA
POLK | IOWA
POLK | NORTH CAROLINA
POLK | OREGON
JEWELL | KANSAS
POINSETT | ARKANSAS
FINNEY | KANSAS
CHAUTAUQUA | KANSAS
AUTAUGA | ALABAMA
GATES | NORTH CAROLINA
GRADY | GEORGIA
GRADY | OKLAHOMA
UNION | ARKANSAS
UNION | GEORGIA
UNION | ILLINOIS
UNION | IOWA
UNION | KENTUCKY
UNION | LOUISIANA
UNION | NORTH CAROLINA
UNION | OREGON
UNION | SOUTH CAROLINA
UNION | SOUTH DAKOTA
PENNINGTON | SOUTH DAKOTA
ST. JOHN THE BAPTIST | LOUISIANA
TERREBONNE | LOUISIANA
TETON | IDAHO
BECKHAM | OKLAHOMA
CARIBOU | IDAHO
LUMPKIN | GEORGIA
MONONA | IOWA
GEORGETOWN | SOUTH CAROLINA
INDEPENDENCE | ARKANSAS
BELL | KENTUCKY
SANGAMON | ILLINOIS
CURRITUCK | NORTH CAROLINA
HUMBOLDT | IOWA
RIO GRANDE | COLORADO
JEFF DAVIS | GEORGIA
WHITE | ARKANSAS
WHITE | GEORGIA
WHITE | ILLINOIS
WINN | LOUISIANA
ALFALFA | OKLAHOMA
CHARLTON | GEORGIA
PIKE | ALABAMA
PIKE | ARKANSAS
PIKE | GEORGIA
PIKE | ILLINOIS
PIKE | KENTUCKY
ROGER MILLS | OKLAHOMA
COAL | OKLAHOMA
GOVE | KANSAS
MACON | ALABAMA
MACON | GEORGIA
MACON | ILLINOIS
MACON | NORTH CAROLINA
CANYON | IDAHO
GRUNDY | ILLINOIS
GRUNDY | IOWA
POTTAWATOMIE | KANSAS
POTTAWATOMIE | OKLAHOMA
MOREHOUSE | LOUISIANA
PAYNE | OKLAHOMA
CALDWELL | KENTUCKY
CALDWELL | LOUISIANA
CALDWELL | NORTH CAROLINA
PRATT | KANSAS
COWETA | GEORGIA
BARBOUR | ALABAMA
NEWTON | ARKANSAS
NEWTON | GEORGIA
GILPIN | COLORADO
AIKEN | SOUTH CAROLINA
MONTEZUMA | COLORADO
BROOKS | GEORGIA
WEST BATON ROUGE | LOUISIANA
BOONE | ARKANSAS
BOONE | ILLINOIS
BOONE | IOWA
BOONE | KENTUCKY
DAVIESS | KENTUCKY
STANLY | NORTH CAROLINA
MONROE | ALABAMA
MONROE | ARKANSAS
MONROE | GEORGIA
MONROE | ILLINOIS
MONROE | IOWA
MONROE | KENTUCKY
CHATTAHOOCHEE | GEORGIA
MINIDOKA | IDAHO
HAYWOOD | NORTH CAROLINA
GORDON | GEORGIA
MUSCOGEE | GEORGIA
LINN | IOWA
LINN | KANSAS
LINN | OREGON
UPSON | GEORGIA
WALTON | GEORGIA
SUMTER | ALABAMA
SUMTER | GEORGIA
SUMTER | SOUTH CAROLINA
MCCURTAIN | OKLAHOMA
OTERO | COLORADO
SHERMAN | KANSAS
SHERMAN | OREGON
JACKSON | ALABAMA
JACKSON | ARKANSAS
JACKSON | COLORADO
JACKSON | GEORGIA
JACKSON | ILLINOIS
JACKSON | IOWA
JACKSON | KANSAS
JACKSON | KENTUCKY
JACKSON | LOUISIANA
JACKSON | NORTH CAROLINA
JACKSON | OKLAHOMA
JACKSON | OREGON
JACKSON | SOUTH DAKOTA
PITT | NORTH CAROLINA
STORY | IOWA
ARAPAHOE | COLORADO
MCPHERSON | KANSAS
MCPHERSON | SOUTH DAKOTA
HEARD | GEORGIA
